filename,distance
image_1164.jpg,4445.8
image_1172.jpg,45774.43
image_0688.jpg,6257.17
image_0957.jpg,374197.92
image_0484.jpg,2318001.76
image_0024.jpg,218270.25
image_0380.jpg,195529.53
image_1293.jpg,4827041.22
image_0955.jpg,1313.08
image_0703.jpg,330991.9
image_0622.jpg,1051515.59
image_0600.jpg,353429.61
image_0286.jpg,1202664.01
image_0795.jpg,106855.1
image_1025.jpg,3105495.08
image_0719.jpg,64759.91
image_0064.jpg,1353320.65
image_1258.jpg,6508.32
image_1207.jpg,171573.65
image_0835.jpg,1149476.75
image_1155.jpg,2728.36
image_1112.jpg,6067.81
image_0961.jpg,1180986.01
image_1219.jpg,1927440.62
image_0336.jpg,324401.89
image_0302.jpg,610861.98
image_0768.jpg,97166.9
image_0559.jpg,7262272.76
image_0314.jpg,16926.2
image_0247.jpg,2285107.04
image_0241.jpg,2625532.12
image_0519.jpg,297157.13
image_0905.jpg,4295.68
image_0667.jpg,972910.56
image_0530.jpg,284641.29
image_0450.jpg,545792.07
image_0108.jpg,168983.5
image_0344.jpg,546118.01
image_0737.jpg,34660.65
image_1126.jpg,12616.02
image_0499.jpg,74306.46
image_0767.jpg,168283.0
image_0997.jpg,722954.73
image_0682.jpg,137691.38
image_0373.jpg,4396562.41
image_0473.jpg,14301059.57
image_0791.jpg,2714294.78
image_1007.jpg,282890.05
image_0850.jpg,27057.32
image_0459.jpg,14453918.83
image_0172.jpg,1118873.43
image_1075.jpg,108552.3
image_0919.jpg,30115.77
image_0935.jpg,56150.41
image_0055.jpg,250750.29
image_0560.jpg,333685.02
image_0105.jpg,257732.09
image_0345.jpg,17537.41
image_1315.jpg,2807724.5
image_0488.jpg,1151075.82
image_0888.jpg,387441.25
image_1251.jpg,1226172.04
image_0529.jpg,16897.01
image_0865.jpg,187729.56
image_1044.jpg,2326456.9
image_1076.jpg,277231.39
image_0155.jpg,458261.94
image_1115.jpg,258474.34
image_0566.jpg,2645.21
image_0819.jpg,257824.62
image_1006.jpg,1382.69
image_1224.jpg,2377719.2
image_1102.jpg,219307.88
image_0293.jpg,5960373.32
image_0363.jpg,2379.03
image_0188.jpg,1450647.4
image_0743.jpg,194334.52
image_1333.jpg,974666.92
image_0248.jpg,2304387.46
image_1255.jpg,635885.73
image_0374.jpg,2116888.61
image_0193.jpg,147333.64
image_0084.jpg,2935.01
image_0917.jpg,1755693.88
image_0532.jpg,1129077.07
image_0338.jpg,138223.75
image_0500.jpg,3680.43
image_1287.jpg,3887.2
image_1174.jpg,2318178.91
image_0210.jpg,17531.07
image_1262.jpg,33130.16
image_0805.jpg,8789.93
image_1297.jpg,9878909.84
image_1151.jpg,15821.81
image_1271.jpg,97931.78
image_0464.jpg,14314076.13
image_1241.jpg,103257.43
image_0223.jpg,646211.06
image_0517.jpg,2750776.94
image_1314.jpg,62895.58
image_0315.jpg,28558.74
image_1269.jpg,224092.06
image_1047.jpg,1403081.29
image_0324.jpg,1569838.69
image_0528.jpg,21372.64
image_0215.jpg,297477.66
image_0970.jpg,2694617.54
image_1107.jpg,45534.47
image_1083.jpg,231653.31
image_1203.jpg,2329371.31
image_0625.jpg,101985.16
image_0796.jpg,243301.77
image_1272.jpg,704667.08
image_0331.jpg,2242273.8
image_0735.jpg,2426862.09
image_1238.jpg,428965.71
image_0601.jpg,112927.75
image_0899.jpg,93831.84
image_0662.jpg,572304.45
image_0554.jpg,200588.05
image_1337.jpg,60978.03
image_0290.jpg,1253008.23
image_0271.jpg,427966.95
image_0544.jpg,333663.62
image_0458.jpg,3480153.74
image_0774.jpg,545654.72
image_0256.jpg,245551.35
image_0734.jpg,196451.24
image_0422.jpg,668965.86
image_1103.jpg,64738.82
image_0179.jpg,159971.44
image_0425.jpg,800151.71
image_0073.jpg,67759.83
image_1237.jpg,3657972.97
image_1289.jpg,2909982.5
image_1166.jpg,16026.72
image_1070.jpg,735409.46
image_0320.jpg,3078397.38
image_1295.jpg,4290102.97
image_0471.jpg,280547.13
image_1016.jpg,1716763.28
image_0588.jpg,10223.34
image_1091.jpg,345099.19
image_1021.jpg,3136500.45
image_1019.jpg,2327065.69
image_0542.jpg,2682024.09
image_1321.jpg,169608.89
image_0276.jpg,38264.64
image_0277.jpg,50442.85
image_0726.jpg,530077.6
image_1201.jpg,8466.89
image_0030.jpg,8400.99
image_0066.jpg,4059.51
image_0567.jpg,72889.37
image_0956.jpg,67391.17
image_1187.jpg,132452.87
image_0615.jpg,388194.85
image_0366.jpg,204540.26
image_0145.jpg,10319.89
image_0940.jpg,508438.47
image_0076.jpg,373593.29
image_0274.jpg,2679888.17
image_1139.jpg,411075.05
image_0161.jpg,37411.88
image_0085.jpg,86904.18
image_1242.jpg,312102.44
image_0823.jpg,27071.48
image_1218.jpg,752773.4
image_0858.jpg,1892.77
image_0844.jpg,187072.74
image_0429.jpg,1382323.89
image_0653.jpg,182634.53
image_0986.jpg,283474.54
image_1249.jpg,150791.85
image_1339.jpg,155098.79
image_0918.jpg,12371.07
image_1008.jpg,516761.16
image_0770.jpg,273436.23
image_1183.jpg,207701.72
